id,nombre,latitud,longitud
9456364,OXXO SUC 5053D LERMA TIJ,32.47732642,-117.0108667
9444127,OXXO SUC 5053O COMPUERTAS TIJ,32.51412243,-116.992596
6780500,OXXO SUC 5054M ALBINO TIJ,32.51617448,-117.0523118
6780448,OXXO SUC 505AZ BONITA TIJ,31.84676169,-116.6026879
9465038,OXXO SUC 505CW EJIDO LAZARO MXL,32.60497164,-115.0175158
9422489,OXXO SUC 505D0 ORTIZ TIJ,32.34769988,-117.043478
9469406,OXXO SUC 505HE UXMAL TIJ,32.51976978,-116.9787099
9416063,OXXO SUC 505LA IXTLAN TIJ,32.48098224,-117.0655703
9422490,OXXO SUC 505OC TAMUL TIJ,32.52561865,-116.9233753
6780464,OXXO SUC 505OV FARALLON TIJ,32.53069766,-117.1232216
9392841,OXXO SUC 505PO ALCERREGA MXL,32.64449667,-115.5087976
9397596,OXXO SUC 505SI IXTEPEC TIJ,32.46883727,-116.9084151
9450236,OXXO SUC 505UD EVARISTO TIJ,32.52726257,-117.0000469
9422491,OXXO SUC 506C4 ADELA TIJ,32.53329302,-117.0384463
6780503,OXXO SUC 506CP PRO HOGAR,32.65155664,-115.439242
9445924,OXXO SUC 506D1 MICHOACAN DE OCAMPO MXL,32.4637346,-115.3035533
9415198,OXXO SUC 506DT PIRAMIDES TIJ,32.55070615,-116.8908107
9462886,OXXO SUC 506HY LOS CABOS TIJ,32.45101594,-116.986027
6787797,OXXO SUC 506NK AQUILA TIJ,32.43963625,-116.9227078
9393462,OXXO SUC 506VD COLINAS DE CALIFORNIA TIJ,32.46402301,-117.0081909
9392858,OXXO SUC 506ZQ MISION SAN DIEGO MXL,32.63472915,-115.3993434
9461545,OXXO SUC 5071C BONAMPAK TIJ,32.52303111,-116.8616408
9415207,OXXO SUC 5074E IGNACIO TIJ,32.52626798,-117.0529758
9422507,OXXO SUC 5074F FIERRO TIJ,32.50964398,-117.0562781
9392859,OXXO SUC 5075X MANAGUA MXL,32.66296684,-115.4420454
6851371,OXXO SUC 5076L PERICUE TIJ,32.46234928,-116.930541
9397613,OXXO SUC 5077B COLUMBUS TIJ,32.53328443,-117.0487946
9427457,OXXO SUC 507AD CAMPESINOS MXL,32.64651608,-115.5420642
9392860,OXXO SUC 507E7 RIO FUERTE MXL,32.63904206,-115.4375921
9438306,OXXO SUC 507G6 AYUNTAMIENTO MXL,32.61755847,-115.4225192
9397095,OXXO SUC 507H5 SILVA MXL,32.36142098,-115.0624388
9422508,OXXO SUC 507JL PAU PAU TIJ,32.55718659,-116.6376383
6851268,OXXO SUC 507JV TESTERAZO TIJ,32.29894963,-116.5357981
6845907,OXXO SUC 507L8 1810 MXL,32.60841498,-115.4444703
9469757,OXXO SUC 507LU MUNDIAL TIJ,32.47983792,-117.0365537
9453239,OXXO SUC 507M9 PAI PAI TIJ,32.51394795,-116.8654817
6852019,OXXO SUC 507R8 DEL ALBA TIJ,32.36902581,-116.9239755
9416083,OXXO SUC 507TZ AGATA TIJ,32.47302385,-117.0159418
9416084,OXXO SUC 507VR ALACRAN TIJ,32.51133439,-117.0862494
9439236,OXXO SUC 50820 RINCONADA OTAY TIJ,32.52570834,-116.942451
9397116,OXXO SUC 50853 TAMESIS MXL,32.60480204,-115.401135
9366707,OXXO SUC 5085K SANTA ISABEL TIJ,32.51988357,-116.9905889
9397117,OXXO SUC 5085Q BRAVO MXL,32.29055271,-115.112457
9393489,OXXO SUC 50869 DIGNIDAD TIJ,32.52139413,-116.8735814
9416085,OXXO SUC 5089T QUETZALCOATL TIJ,32.51665305,-117.0645818
9453240,OXXO SUC 508BA CABRILLO TIJ,31.85799859,-116.6095503
6850389,OXXO SUC 508IK SUAREZ TIJ,32.51755076,-117.044711
9444091,OXXO SUC 508JO RANCHO VIEJO TIJ,32.47226605,-116.9344685
6845880,OXXO SUC 508OV CHICHEN ITZA TIJ,32.47343239,-116.8825133
